,Dis,Gen
263,0.3238741935017597,0.3080257702618837
264,0.2578126359656154,0.13803218558430672
265,0.28856800694063484,0.05787948776036501
266,0.2503663263167722,0.11574919994920492
267,0.3053335626441312,0.05420794108882546
268,0.286630495485053,0.055348681192845105
269,0.3006871234939759,0.17056176215410232
270,0.2986468948034876,0.017752609122544526
271,0.2801963512198513,0.2596818955615163
272,0.31211604076216976,0.24942848097532988
273,0.3320416264744648,0.30565442323684694
274,0.2682449597431474,0.15753723966889083
275,0.36733391055141584,0.15479875120334327
276,0.29536215224898005,0.11483045141212642
277,0.34598631935426033,0.13576167896389962
278,0.4048105794263173,0.1506382512394339
279,0.3757732910324771,0.08852613152936101
280,0.2936740055620431,0.12063544426113366
281,0.42937445353312664,0.2652948186453432
282,0.3480746956714186,0.15361342072486878
283,0.3217588868964628,0.18627561637433246
284,0.3256923094331979,0.08285036575049162
285,0.2871819993099534,0.11513651955872774
286,0.27298109167550944,0.21323964664712547
287,0.24644688094954892,0.11997970532625914
288,0.3129174072579686,0.1832112007588148
289,0.20053223673119602,0.05321757083176635
290,0.27359600287364666,-0.024734191335737704
291,0.16892213227758446,0.08691487332107499
292,0.11864539944981954,0.03834599080495536
293,0.055313350206398104,0.11227588899433613
294,0.12817171060416593,0.06152454977855086
295,0.21160146749642,0.1344044823711738
296,0.38600560364474257,0.0705017020367086
297,0.4067375659942627,0.10068057618103922
298,0.3999416837730561,0.15279973799362778
299,0.37911539958662777,0.19197392780333758
300,0.3635020730007126,-0.08708427991718054
301,0.3634387039276491,0.25420692794024946
302,0.29346177376896504,0.12912876347545535
303,0.34727916707954254,0.16492512916214763
304,0.39658825895393707,-0.014267513453960419
305,0.3568334119865693,0.12725885562598704
306,0.3520832942671565,0.20704174590762706
307,0.36703084080094794,0.16231490030884743
308,0.34431394611496524,0.12837617807090282
309,0.33656925561437645,0.10261139381676912
310,0.296762718733056,0.29950399707071484
311,0.3587651281471712,0.20446192828938364
312,0.4166177439402385,0.16087422996759415
313,0.377798281520246,0.24325102604925633
314,0.3545034965836858,0.14532850204966963
315,0.3765993147011263,0.057495745606720446
316,0.3383995059982361,0.11395559459924698
317,0.35616165902241165,0.06673875339329242
318,0.33676298555121364,0.13604904496110976
319,0.35081622590980377,0.19119415852241217
320,0.33754417934570924,-0.07155894549563527
321,0.4536294372206232,0.10689392908476293
322,0.3668884484164686,0.153011287888512
323,0.3374046125565188,0.07328114586882294
324,0.3858866255924884,0.10965334601700306
325,0.3926375094187786,0.17285949125885963
326,0.3165296914587059,0.2623348499462008
327,0.3451644617869672,0.17316838018596173
328,0.30297241201362457,0.17160774201154708
329,0.328020212640724,0.19446434939280152
330,0.33950675491348326,0.13085890017449855
331,0.38624878485040015,0.1641236864775419
332,0.3538013720608141,0.246606622710824
333,0.3635925289138733,0.15570540800690652
334,0.36297471073257875,0.23651971340179442
335,0.4264633880561614,0.15448090711608528
336,0.3575693713613303,0.20416626621037723
337,0.3530494209274231,0.17203049894422293
338,0.35460722829443386,0.19458769434364512
339,0.31146769734271557,0.1598684934899211
340,0.2919541798442243,0.02289422243833542
341,0.3691641800853622,0.20555575225502254
342,0.3747907584929562,0.05084651455283165
343,0.3562965349978711,0.1220469656214118
344,0.38816227204349624,0.1570458290539682
345,0.3476331875506175,0.13864518529735506
346,0.35633084094189255,0.009943860843777656
347,0.3539589250901617,0.28632842790335417
348,0.29992838556986734,0.1439980211853981
349,0.3412161074488996,0.11794149570167065
350,0.2894995729607272,-0.014794112294912337
351,0.3145279994451377,0.343623050134629
352,0.35382962897120707,0.11804757330566645
353,0.3329429391876282,0.15800183244049548
354,0.3807344000981036,0.11631896454840898
355,0.3445382731027871,0.22970750208944082
356,0.3322732616141139,0.2398375097848475
357,0.3498799791297759,0.0865338784083724
358,0.3267458954968127,0.017703428105451165
359,0.337352644008805,0.2791403724625707
360,0.29741815725962323,0.20983019202947617
361,0.3234157638856206,0.2679755000397563
362,0.3069086314205185,0.2527348814159632
363,0.3048114029757948,0.1567849007062614
364,0.3079252118566429,0.19255303137004376
365,0.3436527797974736,0.1595147887337953
366,0.3082427140699333,0.2200689166318625
367,0.31791650961680584,0.2134111452102661
368,0.3289335846422188,0.14655216851737352
369,0.2956391453264229,0.1689608070254326
370,0.2629600198393366,-0.11348096064757555
371,0.298614085917492,0.2639403376355767
372,0.3367456978104679,0.16571466352790595
373,0.3397204311018488,0.3177829469880089
374,0.3393634078971832,0.14280382497236133
375,0.3232819162698156,0.09378495333716273
376,0.36091685773857146,0.27632291736081244
377,0.3422374643953929,0.2106463329307735
378,0.3300495803595547,0.0970157591998577
379,0.3030813630804958,0.17286870039999486
380,0.2447428478294587,0.05317631294950843
381,0.3369106695833934,0.21503442246466875
382,0.3391030289561873,0.2611596757918596
383,0.2974481218789955,0.16632670193910598
384,0.31336619911423647,0.11628480274230242
385,0.30838735036581877,0.08981753215193748
386,0.31348192356676463,0.23306627899408341
387,0.29506709250101604,0.1036997517477721
388,0.29647723019841205,0.18842199087142944
389,0.30450443091641466,0.241911694817245
390,0.33816739785144606,-0.017420242950320245
391,0.3764392295515681,0.23091634653508664
392,0.3478553927088358,0.051315833711996675
393,0.3342644478901323,0.07100099805742502
394,0.33001817086614277,0.10405252516269684
395,0.410969207564511,0.08382421962916851
396,0.31218463014886083,0.1588228007219732
397,0.34991612108835735,0.20753230934031308
398,0.34840105575730046,0.2193164137285203
399,0.30853152227210234,0.13572783306241035
400,0.29354185751643047,-0.01995099402964115
